employee_id,department,job_title,salary,years_experience,performance_score,city
E-1001,Engineering,Senior Developer,125000,8,4.2,San Francisco
E-1002,Engineering,Staff Engineer,155000,12,4.7,Seattle
E-1003,Marketing,Campaign Manager,85000,5,3.8,New York
E-1004,Sales,Account Executive,92000,6,4.1,Chicago
E-1005,Engineering,Junior Developer,78000,2,3.5,Austin
E-1006,HR,Talent Partner,82000,4,4.0,San Francisco
E-1007,Finance,Financial Analyst,95000,7,4.3,New York
E-1008,Engineering,DevOps Engineer,118000,9,4.5,Seattle
E-1009,Sales,Sales Director,145000,14,4.6,Chicago
E-1010,Marketing,Content Strategist,76000,3,3.9,Austin
E-1011,Engineering,ML Engineer,140000,10,4.4,San Francisco
E-1012,Finance,Controller,130000,11,4.1,New York
E-1013,HR,HR Director,120000,13,4.5,Seattle
E-1014,Sales,BDR,65000,1,3.3,Chicago
E-1015,Engineering,Frontend Developer,105000,6,4.0,Austin
E-1016,Marketing,VP Marketing,165000,15,4.8,San Francisco
E-1017,Engineering,Backend Developer,112000,7,4.2,Seattle
E-1018,Finance,Senior Accountant,98000,8,3.7,New York
E-1019,Sales,Enterprise AE,135000,10,4.4,Chicago
E-1020,Engineering,QA Lead,102000,9,4.1,Austin
