order_id,order_date,product_category,product_name,quantity,unit_price,customer_region,channel
ORD-10001,2024-01-05,Oncology,Avastin 400mg,12,4850.00,North America,Hospital
ORD-10002,2024-01-12,Oncology,Herceptin 150mg,8,3200.00,Europe,Hospital
ORD-10003,2024-01-18,Immunology,Actemra 200mg,25,1250.00,Asia Pacific,Pharmacy
ORD-10004,2024-01-25,Diagnostics,cobas 6800,3,85000.00,North America,Direct
ORD-10005,2024-02-02,Oncology,Tecentriq 1200mg,15,7400.00,Europe,Hospital
ORD-10006,2024-02-10,Ophthalmology,Lucentis 10mg,40,1150.00,Asia Pacific,Pharmacy
ORD-10007,2024-02-17,Immunology,Ocrevus 300mg,10,5800.00,North America,Hospital
ORD-10008,2024-03-01,Diagnostics,cobas e 801,2,120000.00,Europe,Direct
ORD-10009,2024-03-08,Oncology,Perjeta 420mg,6,3950.00,Latin America,Hospital
ORD-10010,2024-03-15,Neuroscience,Evrysdi 60mg,18,2300.00,North America,Pharmacy
ORD-10011,2024-04-01,Oncology,Gazyva 1000mg,9,5100.00,Asia Pacific,Hospital
ORD-10012,2024-04-10,Ophthalmology,Vabysmo 120mg,35,1980.00,Europe,Pharmacy
ORD-10013,2024-05-05,Diagnostics,cobas pro,1,250000.00,North America,Direct
ORD-10014,2024-05-12,Immunology,Actemra 200mg,20,1250.00,Latin America,Hospital
ORD-10015,2024-06-01,Oncology,Tecentriq 1200mg,11,7400.00,Europe,Hospital
